Project;Release;ReleaseDate;ClassName;ClassPath;LOC;LOCTouched;NR;Nfix;Nauth;LOCAdded;MaxLOCAdded;AverageLOCAdded;CLOC;WMC;MaxChurn;AverageChurn;ChangeSetSize;NPM;MaxChangeSet;AverageChangeSet;Age;WeightedAge;AGE;SmellSourceRelease;NSmells;NPMDRuleTypes;PMDRules;PMDAnalysisStatus;PMDAnalysisWarning;Buggy;BugTicketCount;BugTickets;FixCommits;ConsistencyStatus;AnalysisWarning
Apache Syncope;1.0.1-incubating;2012-08-29;PreemptiveAuthHttpRequestFactory;client/src/main/java/org/apache/syncope/client/http/PreemptiveAuthHttpRequestFactory.java;38;89;3;1;2;82;75;27,333333;25;4;75;29,666667;1538;1;1524;512,666667;133,000000;122,943820;38,000000;1.0.0-incubating;1;1;ExcessiveParameterList(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;RoleMod;client/src/main/java/org/apache/syncope/client/mod/RoleMod.java;90;143;1;0;1;143;143;143,000000;18;33;143;143,000000;1524;21;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;StaticReportletConf;client/src/main/java/org/apache/syncope/client/report/StaticReportletConf.java;61;102;1;0;1;102;102;102,000000;18;16;102;102,000000;1524;12;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;UserReportletConf;client/src/main/java/org/apache/syncope/client/report/UserReportletConf.java;70;112;1;0;1;112;112;112,000000;18;12;112;112,000000;1524;10;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;AttributeCond;client/src/main/java/org/apache/syncope/client/search/AttributeCond.java;46;85;1;0;1;85;85;85,000000;21;13;85;85,000000;1524;7;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;MembershipCond;client/src/main/java/org/apache/syncope/client/search/MembershipCond.java;25;57;1;0;1;57;57;57,000000;21;7;57;57,000000;1524;5;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;NodeCond;client/src/main/java/org/apache/syncope/client/search/NodeCond.java;141;210;1;0;1;210;210;210,000000;18;53;210;210,000000;1524;25;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;NPathComplexity(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;AbstractExecTO;client/src/main/java/org/apache/syncope/client/to/AbstractExecTO.java;49;85;1;0;1;85;85;85,000000;18;14;85;85,000000;1524;10;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;AttributeTO;client/src/main/java/org/apache/syncope/client/to/AttributeTO.java;45;111;1;0;1;111;111;111,000000;50;14;111;111,000000;1524;8;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;ConfigurationTO;client/src/main/java/org/apache/syncope/client/to/ConfigurationTO.java;19;46;1;0;1;46;46;46,000000;18;4;46;46,000000;1524;4;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;ConnBundleTO;client/src/main/java/org/apache/syncope/client/to/ConnBundleTO.java;52;91;1;0;1;91;91;91,000000;18;13;91;91,000000;1524;12;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;ConnInstanceTO;client/src/main/java/org/apache/syncope/client/to/ConnInstanceTO.java;100;151;1;0;1;151;151;151,000000;18;26;151;151,000000;1524;19;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;DerivedSchemaTO;client/src/main/java/org/apache/syncope/client/to/DerivedSchemaTO.java;18;44;1;0;1;44;44;44,000000;18;4;44;44,000000;1524;4;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;LoggerTO;client/src/main/java/org/apache/syncope/client/to/LoggerTO.java;20;47;1;0;1;47;47;47,000000;18;4;47;47,000000;1524;4;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;NotificationTO;client/src/main/java/org/apache/syncope/client/to/NotificationTO.java;96;153;1;0;1;153;153;153,000000;18;28;153;153,000000;1524;24;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;NotificationTaskTO;client/src/main/java/org/apache/syncope/client/to/NotificationTaskTO.java;69;115;2;1;1;115;105;57,500000;18;18;105;57,500000;1529;16;1524;764,500000;133,000000;121,434783;133,000000;1.0.0-incubating;1;1;DataClass(1);OK;;Yes;1;SYNCOPE-192;b2daa7c53f9eeb76bc4196477f735c7a29bc2154;CONSISTENT_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;PolicyTO;client/src/main/java/org/apache/syncope/client/to/PolicyTO.java;24;53;1;0;1;53;53;53,000000;18;5;53;53,000000;1524;5;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;PropagationTO;client/src/main/java/org/apache/syncope/client/to/PropagationTO.java;34;125;1;0;1;125;125;125,000000;76;8;125;125,000000;1524;8;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;PropagationTaskTO;client/src/main/java/org/apache/syncope/client/to/PropagationTaskTO.java;55;98;1;0;1;98;98;98,000000;18;14;98;98,000000;1524;14;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;ReportTO;client/src/main/java/org/apache/syncope/client/to/ReportTO.java;112;169;2;0;2;169;141;84,500000;18;33;141;84,500000;1536;24;1524;768,000000;133,000000;115,934911;103,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;ResourceTO;client/src/main/java/org/apache/syncope/client/to/ResourceTO.java;147;235;1;0;1;235;235;235,000000;30;37;235;235,000000;1524;36;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;2;2;DataClass(1) | TooManyFields(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;RoleTO;client/src/main/java/org/apache/syncope/client/to/RoleTO.java;107;177;1;0;1;177;177;177,000000;29;32;177;177,000000;1524;25;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;SchedTaskTO;client/src/main/java/org/apache/syncope/client/to/SchedTaskTO.java;41;74;1;0;1;74;74;74,000000;18;12;74;74,000000;1524;8;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;SchemaMappingTO;client/src/main/java/org/apache/syncope/client/to/SchemaMappingTO.java;54;115;1;0;1;115;115;115,000000;38;14;115;115,000000;1524;14;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;SchemaTO;client/src/main/java/org/apache/syncope/client/to/SchemaTO.java;82;134;2;0;2;134;124;67,000000;18;22;124;67,000000;1533;20;1524;766,500000;133,000000;132,925373;1,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;SyncTaskTO;client/src/main/java/org/apache/syncope/client/to/SyncTaskTO.java;60;104;1;0;1;104;104;104,000000;18;16;104;104,000000;1524;16;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;TaskTO;client/src/main/java/org/apache/syncope/client/to/TaskTO.java;61;101;2;0;2;101;72;50,500000;18;17;72;50,500000;1536;12;1524;768,000000;133,000000;103,425743;103,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;UserRequestTO;client/src/main/java/org/apache/syncope/client/to/UserRequestTO.java;48;84;1;0;1;84;84;84,000000;18;13;84;84,000000;1524;10;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;UserTO;client/src/main/java/org/apache/syncope/client/to/UserTO.java;144;213;1;0;1;213;213;213,000000;18;40;213;213,000000;1524;28;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;WorkflowDefinitionTO;client/src/main/java/org/apache/syncope/client/to/WorkflowDefinitionTO.java;19;46;1;0;1;46;46;46,000000;18;4;46;46,000000;1524;4;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;WorkflowFormPropertyTO;client/src/main/java/org/apache/syncope/client/to/WorkflowFormPropertyTO.java;82;133;1;0;1;133;133;133,000000;18;22;133;133,000000;1524;20;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;WorkflowFormTO;client/src/main/java/org/apache/syncope/client/to/WorkflowFormTO.java;100;151;1;0;1;151;151;151,000000;18;25;151;151,000000;1524;18;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;AttributableOperations;client/src/main/java/org/apache/syncope/client/util/AttributableOperations.java;256;425;2;1;2;412;370;206,000000;67;53;370;212,500000;1536;5;1524;768,000000;133,000000;128,470588;35,000000;1.0.0-incubating;9;6;AvoidDeeplyNestedIfStmts(2) | CognitiveComplexity(2) | CouplingBetweenObjects(1) | CyclomaticComplexity(2) | GodClass(1) | NPathComplexity(1);OK;;No;0;;;NO_BUG_LINK;
Apache Syncope;1.0.1-incubating;2012-08-29;AccountPolicySpec;client/src/main/java/org/apache/syncope/types/AccountPolicySpec.java;90;175;1;0;1;175;175;175,000000;52;24;175;175,000000;1524;20;1524;1524,000000;133,000000;133,000000;0,000000;1.0.0-incubating;1;1;DataClass(1);OK;;No;0;;;NO_BUG_LINK;
