Variable,DatasetA,DatasetB+,DatasetC,NSmells,Defectiveness
Size,26574,5355,21219,,
LOC,75.078084,152.392157,55.566473,0.425465*,0.283024*
LOCTouched,201.730187,390.125677,154.185164,0.385526*,0.27298*
NR,5.262512,8.456022,4.456572,0.232983*,0.232275*
Nfix,0.598856,1.25789,0.432537,0.211035*,0.331338*
Nauth,2.059306,2.704762,1.896414,0.222531*,0.238079*
LOCAdded,159.894258,304.628945,123.367831,0.402584*,0.278585*
MaxLOCAdded,112.917099,199.442764,91.080777,0.404375*,0.275439*
AverageLOCAdded,42.031402,57.203184,38.202527,0.194633*,0.055545*
CLOC,24.646572,29.882353,23.325227,0.223321*,0.180106*
WMC,14.070821,30.706256,9.872567,0.434704*,0.273987*
MaxChurn,118.187966,210.049486,95.005043,0.404461*,0.267789*
AverageChurn,46.676691,64.490584,42.181032,0.231667*,0.085343*
ChangeSetSize,1618.621961,1733.829879,1589.547151,0.110052*,0.099229*
NPM,5.172876,8.920448,4.227108,0.247194*,0.130795*
MaxChangeSet,1241.009935,1206.333894,1249.761063,0.062769*,0.05122*
AverageChangeSet,564.3813,399.533283,605.983691,-0.059959*,-0.07418*
Age,61.42674,56.307328,62.718717,0.04689*,0.075469*
WeightedAge,418.581178,430.312601,415.62054,0.065881*,0.028411*
AGE,61.42674,56.307328,62.718717,0.04689*,0.075469*
NSmells,0.532626,0,0,-,0.209195*
NPMDRuleTypes,0.394333,1.956863,0,0.999477*,0.209597*
BugTicketCount,0.14168,0.3324,0.093548,0.212871*,0.998864*
