Configurazione;Precision;Recall;F1;AUC;PRC;Kappa;Accuracy
NB_PURE;0,3754;0,4404;0,4053;0,8489;0,3642;0,3285;86,31%
NB_FS;0,3660;0,3684;0,3672;0,8028;0,3332;0,2919;86,54%
NB_OVER;0,3852;0,5094;0,4387;0,8654;0,3798;0,3616;86,19%
NB_FS_OVER;0,3606;0,4345;0,3941;0,8028;0,3335;0,3147;85,84%
IBK_PURE;0,5164;0,4724;0,4934;0,7277;0,3052;0,4364;89,72%
IBK_FS;0,5205;0,4920;0,5058;0,7618;0,4051;0,4491;89,81%
IBK_OVER;0,4528;0,5357;0,4908;0,7408;0,3094;0,4247;88,22%
IBK_FS_OVER;0,5273;0,7339;0,6136;0,8708;0,6446;0,5593;90,21%
RF_PURE;0,9588;0,4061;0,5704;0,9588;0,8399;0,5416;93,52%
RF_FS;0,6955;0,4560;0,5506;0,9001;0,6245;0,5095;92,13%
RF_OVER;0,5943;0,8582;0,7023;0,9582;0,8176;0,6597;92,29%
RF_FS_OVER;0,5025;0,6234;0,5564;0,8941;0,5743;0,4974;89,47%
