Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
"milestone_1_dataset_selected_features_weka,1,1,weka.classifiers.meta.FilteredClassifier,'-F \""weka.filters.MultiFilter -F \\\""weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\""weka.attributeSelection.CfsSubsetEval -P 1 -E 1\\\\\\\"" -S \\\\\\\""weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\""\\\"" -F \\\""weka.filters.supervised.instance.Resample -B 1.0 -S 1 -Z 178.8\\\"" -S 1\"" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.0260728105800003E7,23916.0,2658.0,2283.0,375.0,0.0,85.89164785553048,14.108352144469526,0.0,0.3266849594896383,0.14764014836801825,0.3632063055617946,77.87233070974675,117.93984627297324,1297.16580687492,9740.18249684237,-8443.01668996745,0.4880232531508352,3.6644779897826822,-3.176454736631847,-52.77846347699984,-0.01985645729006766,-4.068752290360752,0.45390070921985815,128.0,0.09301346801346802,221.0,0.906986531986532,2155.0,0.5460992907801419,154.0,0.3667621776504298,0.45390070921985815,0.40570522979397783,0.3290747959513939,0.7960701876925281,0.34105221958721316,0.8589164785553047,0.49802923734891463,0.5019707626510854,0.14108352144469527,0.873197265978703,0.8589164785553047,0.8653978347275584,0.3290747959513939,0.7961115455096892,0.900926053352817,0.6628312701798065,0.8589164785553047,0.499,0.005,0.487171992,0.005646328999999999,487.171992,5.646329,147116.0,5972479.0,764269.0,88.82618510158014,54.477050413845,?,?"
"milestone_1_dataset_selected_features_weka,1,2,weka.classifiers.meta.FilteredClassifier,'-F \""weka.filters.MultiFilter -F \\\""weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\""weka.attributeSelection.CfsSubsetEval -P 1 -E 1\\\\\\\"" -S \\\\\\\""weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\""\\\"" -F \\\""weka.filters.supervised.instance.Resample -B 1.0 -S 1 -Z 178.8\\\"" -S 1\"" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.0260728105800003E7,23916.0,2658.0,2274.0,384.0,0.0,85.55304740406321,14.446952595936795,0.0,0.29760931500061943,0.1731859614882014,0.3578340430260259,91.34638928753677,116.1953726559016,1297.16580687492,7552.995257071069,-6255.829450196149,0.4880232531508352,2.8416084488604474,-2.3535851957096123,-206.30740284688233,-0.07761753304999335,-15.904474335775923,0.4148936170212766,117.0,0.09217171717171717,219.0,0.9078282828282829,2157.0,0.5851063829787234,165.0,0.3482142857142857,0.4148936170212766,0.37864077669902907,0.29907179923329424,0.7710027282279055,0.3188055124017617,0.8555304740406321,0.5328085741910726,0.46719142580892736,0.14446952595936793,0.8673285249319422,0.8555304740406321,0.8610119648146735,0.29907179923329424,0.7708986666234358,0.8901953889333708,0.6484519336879564,0.8555304740406321,0.2,0.003,0.200158528,0.002551739,200.158528,2.551739,144766.0,5972479.0,764269.0,90.85778781038374,60.51542513167795,?,?"
"milestone_1_dataset_selected_features_weka,1,3,weka.classifiers.meta.FilteredClassifier,'-F \""weka.filters.MultiFilter -F \\\""weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\""weka.attributeSelection.CfsSubsetEval -P 1 -E 1\\\\\\\"" -S \\\\\\\""weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\""\\\"" -F \\\""weka.filters.supervised.instance.Resample -B 1.0 -S 1 -Z 178.8\\\"" -S 1\"" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.0260728105800003E7,23916.0,2658.0,2262.0,396.0,0.0,85.10158013544019,14.89841986455982,0.0,0.3018180081507894,0.15241703383159416,0.36972561379274277,80.3918838847742,120.05678697248798,1297.16580687492,13513.33087223142,-12216.1650653565,0.4880232531508352,5.084022149071264,-4.595998895920428,-90.15523136618464,-0.033918446714140196,-6.950170200938539,0.4397163120567376,124.0,0.10016835016835017,238.0,0.8998316498316499,2138.0,0.5602836879432624,158.0,0.3425414364640884,0.4397163120567376,0.3850931677018634,0.30486577574799656,0.7972887862072259,0.31473951464563305,0.8510158013544018,0.5114678394660145,0.4885321605339856,0.1489841986455982,0.8687326781798482,0.8510158013544018,0.8589939286429726,0.30486577574799656,0.797102008968434,0.8989050835789963,0.6501664468646302,0.8510158013544018,0.189,0.003,0.188859888,0.0038582160000000002,188.859888,3.858216,146775.0,5972479.0,764269.0,88.56282919488338,54.34537246049661,?,?"
"milestone_1_dataset_selected_features_weka,1,4,weka.classifiers.meta.FilteredClassifier,'-F \""weka.filters.MultiFilter -F \\\""weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\""weka.attributeSelection.CfsSubsetEval -P 1 -E 1\\\\\\\"" -S \\\\\\\""weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\""\\\"" -F \\\""weka.filters.supervised.instance.Resample -B 1.0 -S 1 -Z 178.8\\\"" -S 1\"" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.0260728105800003E7,23916.0,2658.0,2263.0,395.0,0.0,85.13920240782544,14.860797592174567,0.0,0.2967434420728153,0.15379735909518857,0.3719064095704556,81.11993209254021,120.76493194364528,1297.16580687492,11823.49117180529,-10526.32536493037,0.4880232531508352,4.448266054102818,-3.9602428009519826,-108.95558049362953,-0.04099156527224587,-8.399510680606125,0.42907801418439717,121.0,0.09848484848484848,234.0,0.9015151515151515,2142.0,0.5709219858156028,161.0,0.3408450704225352,0.42907801418439717,0.37990580847723704,0.29928193149365223,0.772513850084772,0.3125812136362566,0.8513920240782543,0.5207988583787055,0.47920114162129435,0.14860797592174568,0.8675752319014708,0.8513920240782543,0.8587479748666437,0.29928193149365223,0.7723043927526981,0.8912898438122122,0.647743030333938,0.8513920240782543,0.181,0.004,0.181295732,0.003764394,181.295732,3.764394,146846.0,5972479.0,764269.0,88.11136192626034,54.02558314522197,?,?"
"milestone_1_dataset_selected_features_weka,1,5,weka.classifiers.meta.FilteredClassifier,'-F \""weka.filters.MultiFilter -F \\\""weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\""weka.attributeSelection.CfsSubsetEval -P 1 -E 1\\\\\\\"" -S \\\\\\\""weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\""\\\"" -F \\\""weka.filters.supervised.instance.Resample -B 1.0 -S 1 -Z 178.8\\\"" -S 1\"" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.0260728105800003E7,23917.0,2657.0,2286.0,371.0,0.0,86.03688370342492,13.963116296575084,0.0,0.3338948702822618,0.1449147300018606,0.3603653732565797,76.52993773234977,117.18123412089014,1293.928141850089,8756.284746550153,-7462.356604700064,0.48698838609337186,3.295553160161894,-2.8085647740685222,-23.007314391041525,-0.00865913225105063,-1.7780983075416477,0.4626334519572954,130.0,0.09259259259259259,220.0,0.9074074074074074,2156.0,0.5373665480427047,151.0,0.37142857142857144,0.4626334519572954,0.4120443740095087,0.33648696079398804,0.8375091364415208,0.3606345920964951,0.8603688370342492,0.4903279776695464,0.5096720223304536,0.13963116296575084,0.8749925380861745,0.8603688370342492,0.8669745145804177,0.33648696079398804,0.8376464223592001,0.9108428869727214,0.6664108267655915,0.8603688370342492,0.192,0.003,0.188469414,0.00366838,188.469414,3.66838,147734.0,5972724.0,764024.0,89.3112532931878,54.271735039518255,?,?"
"milestone_1_dataset_selected_features_weka,1,6,weka.classifiers.meta.FilteredClassifier,'-F \""weka.filters.MultiFilter -F \\\""weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\""weka.attributeSelection.CfsSubsetEval -P 1 -E 1\\\\\\\"" -S \\\\\\\""weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\""\\\"" -F \\\""weka.filters.supervised.instance.Resample -B 1.0 -S 1 -Z 178.8\\\"" -S 1\"" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.0260728105800003E7,23917.0,2657.0,2300.0,357.0,0.0,86.56379375235228,13.436206247647723,0.0,0.3225893532401552,0.1383430905108073,0.350501775053551,73.05943365699936,113.97385434447486,1293.928141850089,9220.544223784214,-7926.616081934126,0.48698838609337186,3.4702838629221735,-2.9832954768288014,42.40668862149264,0.015960364554570058,3.2773604074225138,0.4199288256227758,118.0,0.08164983164983165,194.0,0.9183501683501684,2182.0,0.5800711743772242,163.0,0.3782051282051282,0.4199288256227758,0.3979763912310287,0.32314890446393685,0.8048253891225422,0.34485362804431463,0.8656379375235228,0.5273589435505787,0.47264105644942134,0.13436206247647722,0.8720816121882862,0.8656379375235228,0.86870879283703,0.32314890446393685,0.8047892260027631,0.8987746518182907,0.6611784095532394,0.8656379375235228,0.192,0.004,0.189964408,0.003923637,189.964408,3.923637,149389.0,5972724.0,764024.0,90.10161836657885,54.38464433571698,?,?"
"milestone_1_dataset_selected_features_weka,1,7,weka.classifiers.meta.FilteredClassifier,'-F \""weka.filters.MultiFilter -F \\\""weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\""weka.attributeSelection.CfsSubsetEval -P 1 -E 1\\\\\\\"" -S \\\\\\\""weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\""\\\"" -F \\\""weka.filters.supervised.instance.Resample -B 1.0 -S 1 -Z 178.8\\\"" -S 1\"" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.0260728105800003E7,23917.0,2657.0,2288.0,369.0,0.0,86.11215656755739,13.887843432442605,0.0,0.30190815317345554,0.14497995731443963,0.36109923670581934,76.56438448714177,117.41986699474533,1293.928141850089,9675.587568449679,-8381.65942659959,0.48698838609337186,3.6415459422091376,-3.154557556115766,-21.028900528071816,-0.007914527861524958,-1.6251984826610382,0.40213523131672596,113.0,0.0845959595959596,201.0,0.9154040404040404,2175.0,0.597864768683274,168.0,0.35987261146496813,0.40213523131672596,0.37983193277310917,0.3024982413826538,0.7843769845549206,0.3070269243793347,0.861121565675574,0.5435822939548075,0.4564177060451924,0.13887843432442604,0.8681814101010753,0.861121565675574,0.8644872274441227,0.3024982413826538,0.7845959723358042,0.8931964313187046,0.6508187000165608,0.861121565675574,0.19,0.004,0.19017689200000001,0.004306562999999999,190.176892,4.306563,148062.0,5972724.0,764024.0,88.67143394806172,54.121189311253296,?,?"
"milestone_1_dataset_selected_features_weka,1,8,weka.classifiers.meta.FilteredClassifier,'-F \""weka.filters.MultiFilter -F \\\""weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\""weka.attributeSelection.CfsSubsetEval -P 1 -E 1\\\\\\\"" -S \\\\\\\""weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\""\\\"" -F \\\""weka.filters.supervised.instance.Resample -B 1.0 -S 1 -Z 178.8\\\"" -S 1\"" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.0260728105800003E7,23917.0,2657.0,2273.0,384.0,0.0,85.5476100865638,14.452389913436207,0.0,0.30165665990423096,0.14966742945801506,0.36811154575222493,79.0398536907579,119.70008337810421,1293.928141850089,10115.809471955605,-8821.881330105516,0.48698838609337186,3.807229759862855,-3.3202413737694827,-66.08808240954446,-0.024873196239948984,-5.107554297029984,0.4234875444839858,119.0,0.09343434343434344,222.0,0.9065656565656566,2154.0,0.5765124555160143,162.0,0.3489736070381232,0.4234875444839858,0.3826366559485531,0.3034686692451537,0.8056484177480618,0.33698931965892176,0.855476100865638,0.5254228998159957,0.4745771001840044,0.14452389913436206,0.8685979271305995,0.855476100865638,0.8615226410819689,0.30346866924515364,0.805746861796349,0.9028170127503089,0.6503976118617446,0.855476100865638,0.19,0.004,0.186292797,0.003782304,186.292797,3.782304,147048.0,5972724.0,764024.0,88.55852465186301,53.91418893488897,?,?"
"milestone_1_dataset_selected_features_weka,1,9,weka.classifiers.meta.FilteredClassifier,'-F \""weka.filters.MultiFilter -F \\\""weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\""weka.attributeSelection.CfsSubsetEval -P 1 -E 1\\\\\\\"" -S \\\\\\\""weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\""\\\"" -F \\\""weka.filters.supervised.instance.Resample -B 1.0 -S 1 -Z 178.8\\\"" -S 1\"" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.0260728105800003E7,23917.0,2657.0,2270.0,387.0,0.0,85.43470079036507,14.565299209634926,0.0,0.29715096579805533,0.14951699293900342,0.367753309186138,78.85063154189803,119.39653675414353,1297.0042012511194,9912.129523572614,-8615.125322321495,0.4881461051001579,3.730571894457137,-3.2424257893569797,-64.72223707814318,-0.024359140789666233,-4.990133186593432,0.41843971631205673,118.0,0.09389473684210527,223.0,0.9061052631578947,2152.0,0.5815602836879432,164.0,0.3460410557184751,0.41843971631205673,0.3788121990369182,0.29887169687951953,0.8034214259051885,0.3373028429410374,0.8543470079036507,0.5298020284336992,0.4701979715663007,0.14565299209634927,0.8672960800879882,0.8543470079036507,0.8603279402684211,0.29887169687951953,0.8035021707328484,0.9008491958222239,0.6481568989215715,0.8543470079036507,0.19,0.004,0.187205353,0.00391116,187.205353,3.91116,147558.0,5972724.0,764024.0,88.67143394806172,53.97064358298833,?,?"
"milestone_1_dataset_selected_features_weka,1,10,weka.classifiers.meta.FilteredClassifier,'-F \""weka.filters.MultiFilter -F \\\""weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\""weka.attributeSelection.CfsSubsetEval -P 1 -E 1\\\\\\\"" -S \\\\\\\""weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\""\\\"" -F \\\""weka.filters.supervised.instance.Resample -B 1.0 -S 1 -Z 178.8\\\"" -S 1\"" -S 1 -W weka.classifiers.bayes.NaiveBayes',-4523450618538717400,2.0260728105800003E7,23917.0,2657.0,2275.0,382.0,0.0,85.62288295069628,14.377117049303726,0.0,0.32270407482343155,0.14862954131247375,0.36498340708729443,78.38261703840077,118.49724717743827,1297.0042012511194,7926.577530048871,-6629.573328797752,0.4881461051001579,2.9832809672746974,-2.4951348621745395,-58.16829619118346,-0.021892471280084102,-4.484819411924264,0.4574468085106383,129.0,0.09642105263157895,229.0,0.903578947368421,2146.0,0.5425531914893617,153.0,0.36033519553072624,0.4574468085106383,0.40312499999999996,0.3256743448243401,0.8058297872340425,0.33846980793448506,0.8562288295069628,0.4952030736279034,0.5047969263720966,0.14377117049303725,0.8726220074896482,0.8562288295069628,0.8635963714501654,0.3256743448243401,0.8059225436889577,0.9028193724753977,0.6606981439880188,0.8562288295069628,0.215,0.006,0.214830795,0.00649005,214.830795,6.49005,147919.0,5972724.0,764024.0,88.82197967632669,54.15882574331953,?,?"
