Configuration;Metric;N;Minimum;Q1;Median;Mean;Q3;Maximum;LowerWhisker;UpperWhisker;Outliers
NB_PURE;Precision;100;0,325648;0,362165;0,375023;0,375640;0,388638;0,440514;0,325648;0,426710;1
NB_PURE;Recall;100;0,372340;0,417922;0,437722;0,440414;0,460993;0,526690;0,372340;0,517730;1
NB_PURE;F1;100;0,355109;0,391796;0,403877;0,405174;0,418445;0,462057;0,355109;0,455538;1
NB_PURE;AUC;100;0,821994;0,842330;0,848347;0,848942;0,855247;0,869585;0,824231;0,869585;1
NB_PURE;PRC;100;0,303638;0,351138;0,361634;0,364213;0,379500;0,433405;0,323677;0,413732;2
NB_PURE;Kappa;100;0,273805;0,313205;0,327084;0,328397;0,343310;0,394697;0,273805;0,382077;1
NB_PURE;Accuracy;100;0,848382;0,858783;0,863380;0,863054;0,866391;0,879985;0,848382;0,876975;1
NB_OVER;Precision;100;0,346154;0,374155;0,383866;0,385491;0,396390;0,443182;0,346154;0,415042;4
NB_OVER;Recall;100;0,444840;0,488907;0,507092;0,509372;0,526690;0,588652;0,444840;0,580071;1
NB_OVER;F1;100;0,390625;0,426857;0,436444;0,438613;0,449821;0,492114;0,393136;0,481132;4
NB_OVER;AUC;100;0,840125;0,858957;0,865113;0,865351;0,871488;0,890719;0,841600;0,886123;2
NB_OVER;PRC;100;0,314690;0,366506;0,378728;0,379813;0,391066;0,449043;0,336465;0,427235;3
NB_OVER;Kappa;100;0,308591;0,349332;0,358065;0,361620;0,373369;0,424290;0,318616;0,402096;6
NB_OVER;Accuracy;100;0,848382;0,858164;0,861498;0,861861;0,865274;0,878856;0,848382;0,875847;2
NB_FS;Precision;100;0,302817;0,349723;0,366092;0,366272;0,379601;0,448669;0,313531;0,415441;4
NB_FS;Recall;100;0,306050;0,348445;0,367671;0,368437;0,384887;0,459075;0,306050;0,436170;1
NB_FS;F1;100;0,304425;0,351517;0,365556;0,367001;0,377938;0,433028;0,323843;0,411467;4
NB_FS;AUC;100;0,766979;0,790618;0,804201;0,802762;0,815854;0,839556;0,766979;0,839556;0
NB_FS;PRC;100;0,262588;0,319586;0,334067;0,333225;0,346313;0,391085;0,290443;0,386150;2
NB_FS;Kappa;100;0,221673;0,275651;0,291867;0,291782;0,304532;0,368349;0,241415;0,339089;4
NB_FS;Accuracy;100;0,851392;0,861550;0,865262;0,865429;0,869025;0,883747;0,851392;0,876599;3
NB_FS_OVER;Precision;100;0,308140;0,347380;0,362834;0,360844;0,372354;0,425868;0,313889;0,409639;3
NB_FS_OVER;Recall;100;0,365248;0,416001;0,433394;0,434484;0,449288;0,519573;0,375887;0,494662;4
NB_FS_OVER;F1;100;0,339200;0,380047;0,393235;0,394009;0,406058;0,452713;0,343907;0,442997;3
NB_FS_OVER;AUC;100;0,767538;0,791514;0,804278;0,802835;0,815542;0,839892;0,767538;0,839892;0
NB_FS_OVER;PRC;100;0,263605;0,319597;0,333714;0,333509;0,345982;0,394450;0,288041;0,384930;2
NB_FS_OVER;Kappa;100;0,252134;0,299702;0,313405;0,314695;0,329095;0,381272;0,260911;0,370807;3
NB_FS_OVER;Accuracy;100;0,843491;0,855154;0,859078;0,858437;0,861498;0,876223;0,847630;0,870956;5
IBK_PURE;Precision;100;0,448000;0,498214;0,516636;0,516827;0,532729;0,568548;0,448000;0,568548;0
IBK_PURE;Recall;100;0,397163;0,456964;0,471631;0,472448;0,491993;0,540925;0,414894;0,540925;2
IBK_PURE;F1;100;0,421053;0,476664;0,492973;0,493207;0,511537;0,541133;0,444037;0,541133;1
IBK_PURE;AUC;100;0,690145;0,719874;0,727593;0,727734;0,737862;0,757701;0,698231;0,757701;1
IBK_PURE;PRC;100;0,246162;0,289800;0,304026;0,305192;0,319272;0,348146;0,246162;0,348146;0
IBK_PURE;Kappa;100;0,356930;0,417953;0,435445;0,436190;0,456509;0,488524;0,380614;0,488524;1
IBK_PURE;Accuracy;100;0,884123;0,893771;0,897629;0,897212;0,900273;0,906697;0,884123;0,906697;0
IBK_OVER;Precision;100;0,392097;0,439912;0,454544;0,453177;0,465051;0,519481;0,412308;0,497059;2
IBK_OVER;Recall;100;0,453901;0,513752;0,537367;0,535729;0,556738;0,617021;0,453901;0,617021;0
IBK_OVER;F1;100;0,422259;0,477929;0,491143;0,490660;0,502686;0,543408;0,441516;0,530278;6
IBK_OVER;AUC;100;0,680011;0,727320;0,742572;0,740803;0,753593;0,785231;0,700796;0,785231;1
IBK_OVER;PRC;100;0,261451;0,293816;0,309162;0,309387;0,324576;0,372701;0,261451;0,361831;1
IBK_OVER;Kappa;100;0,347733;0,410889;0,424479;0,424635;0,438318;0,485367;0,369933;0,469696;6
IBK_OVER;Accuracy;100;0,867193;0,878434;0,882619;0,882208;0,885346;0,898420;0,871660;0,893489;2
IBK_FS;Precision;100;0,343874;0,395196;0,424298;0,524100;0,720057;0,783133;0,343874;0,783133;0
IBK_FS;Recall;100;0,308511;0,373665;0,410300;0,492036;0,667553;0,730496;0,308511;0,730496;0
IBK_FS;F1;100;0,325234;0,384756;0,415684;0,506859;0,696472;0,749543;0,325234;0,749543;0
IBK_FS;AUC;100;0,639088;0,677619;0,693101;0,761796;0,899493;0,936917;0,639088;0,936917;0
IBK_FS;PRC;100;0,183903;0,221415;0,240207;0,405068;0,701914;0,765712;0,183903;0,765712;0
IBK_FS;Kappa;100;0,249942;0,314428;0,347997;0,450133;0,663476;0,720847;0,249942;0,720847;0
IBK_FS;Accuracy;100;0,861122;0,872707;0,878811;0,898077;0,937359;0,948457;0,861122;0,948457;0
IBK_FS_OVER;Precision;100;0,377246;0,514670;0,533657;0,526454;0,548685;0,603217;0,468391;0,587927;9
IBK_FS_OVER;Recall;100;0,446809;0,730257;0,751773;0,733957;0,773737;0,854610;0,695035;0,819149;12
IBK_FS_OVER;F1;100;0,409091;0,610450;0,625748;0,612502;0,637372;0,688073;0,588589;0,676737;12
IBK_FS_OVER;AUC;100;0,693147;0,874894;0,882603;0,870755;0,891982;0,936605;0,856155;0,914256;13
IBK_FS_OVER;PRC;100;0,250333;0,654696;0,680206;0,644638;0,697912;0,756933;0,622472;0,756933;10
IBK_FS_OVER;Kappa;100;0,332268;0,553867;0,573448;0,558209;0,586523;0,645282;0,531214;0,631931;12
IBK_FS_OVER;Accuracy;100;0,863055;0,898410;0,904421;0,902107;0,908202;0,923222;0,885962;0,919458;9
RF_PURE;Precision;100;0,901515;0,950463;0,962434;0,959903;0,975308;0,991150;0,913907;0,991150;4
RF_PURE;Recall;100;0,226950;0,367908;0,411348;0,406141;0,452128;0,517730;0,274021;0,517730;1
RF_PURE;F1;100;0,366762;0,532217;0,575660;0,568064;0,617510;0,671296;0,425414;0,671296;1
RF_PURE;AUC;100;0,941201;0,954876;0,958350;0,958771;0,963058;0,976740;0,944246;0,971152;2
RF_PURE;PRC;100;0,787251;0,826454;0,841772;0,839895;0,853455;0,893202;0,787251;0,893202;0
RF_PURE;Kappa;100;0,339871;0,503422;0,547222;0,539548;0,589692;0,645152;0,396869;0,645152;1
RF_PURE;Accuracy;100;0,916855;0,931521;0,935654;0,935219;0,939223;0,946576;0,921716;0,946576;1
RF_OVER;Precision;100;0,534676;0,574571;0,597103;0,595351;0,613973;0,646240;0,534676;0,646240;0
RF_OVER;Recall;100;0,804965;0,846975;0,856383;0,858239;0,875445;0,907473;0,804965;0,907473;0
RF_OVER;F1;100;0,655693;0,687375;0,704247;0,702622;0,718389;0,745914;0,655693;0,745914;0
RF_OVER;AUC;100;0,944510;0,953903;0,958097;0,958192;0,962219;0,974897;0,944510;0,970381;1
RF_OVER;PRC;100;0,758860;0,801665;0,819557;0,817557;0,831046;0,874264;0,758860;0,874264;0
RF_OVER;Kappa;100;0,604173;0,641604;0,661554;0,660039;0,678925;0,710211;0,604173;0,710211;0
RF_OVER;Accuracy;100;0,905533;0,917576;0,923612;0,922891;0,927947;0,935642;0,905533;0,935642;0
RF_FS;Precision;100;0,479290;0,586569;0,623226;0,679544;0,805231;0,865116;0,479290;0,865116;0
RF_FS;Recall;100;0,280142;0,336289;0,371886;0,456021;0,645964;0,716312;0,280142;0,716312;0
RF_FS;F1;100;0,359202;0,426456;0,464345;0,541663;0,718107;0,766603;0,359202;0,766603;0
RF_FS;AUC;100;0,854152;0,874670;0,886070;0,900145;0,936276;0,958511;0,854152;0,958511;0
RF_FS;PRC;100;0,452268;0,512343;0,548279;0,624464;0,794513;0,853416;0,452268;0,853416;0
RF_FS;Kappa;100;0,303849;0,379529;0,418133;0,501433;0,688152;0,741060;0,303849;0,741060;0
RF_FS;Accuracy;100;0,891272;0,904780;0,909484;0,921318;0,946462;0,954101;0,891272;0,954101;0
RF_FS_OVER;Precision;100;0,381890;0,447189;0,469668;0,499914;0,564633;0,631429;0,381890;0,631429;0
RF_FS_OVER;Recall;100;0,457447;0,525337;0,563830;0,623421;0,773050;0,819149;0,457447;0,819149;0
RF_FS_OVER;F1;100;0,432886;0,485340;0,508033;0,553754;0,654256;0,702786;0,432886;0,702786;0
RF_FS_OVER;AUC;100;0,838635;0,871085;0,879479;0,894066;0,928890;0,951841;0,838635;0,951841;0
RF_FS_OVER;PRC;100;0,431446;0,481943;0,518473;0,574299;0,705175;0,769501;0,431446;0,769501;0
RF_FS_OVER;Kappa;100;0,361508;0,418166;0,443495;0,494909;0,606065;0,662408;0,361508;0,662408;0
RF_FS_OVER;Accuracy;100;0,848702;0,880926;0,886736;0,894743;0,913154;0,928491;0,848702;0,928491;0
